[   1] a =   3, b =   4, c =   5
[ 328] a = 407, b = 624, c = 745
[ 329] a = 411, b = 548, c = 685
[ 330] a = 417, b = 556, c = 695
[ 331] a = 423, b = 564, c = 705
[ 332] a = 425, b = 168, c = 457
[ 333] a = 425, b = 660, c = 785
[ 334] a = 429, b =  72, c = 435
[ 335] a = 429, b = 460, c = 629
[ 336] a = 429, b = 572, c = 715
[ 337] a = 429, b = 700, c = 821
[ 338] a = 429, b = 728, c = 845
[ 339] a = 429, b = 880, c = 979
[ 340] a = 435, b = 232, c = 493
[ 341] a = 435, b = 308, c = 533
[ 342] a = 435, b = 580, c = 725
[ 343] a = 437, b =  84, c = 445
[ 344] a = 441, b = 112, c = 455
[ 345] a = 441, b = 420, c = 609
[ 346] a = 441, b = 588, c = 735
[ 347] a = 447, b = 596, c = 745
[ 348] a = 451, b = 780, c = 901
[ 349] a = 453, b = 604, c = 755
[ 350] a = 455, b = 156, c = 481
[ 351] a = 455, b = 300, c = 545
[ 352] a = 455, b = 504, c = 679
[ 353] a = 455, b = 528, c = 697
[ 354] a = 459, b = 220, c = 509
[ 355] a = 459, b = 312, c = 555
[ 356] a = 459, b = 612, c = 765
[ 357] a = 465, b = 248, c = 527
[ 358] a = 465, b = 368, c = 593
[ 359] a = 465, b = 620, c = 775
[ 360] a = 471, b = 628, c = 785
[ 361] a = 473, b = 864, c = 985
[ 362] a = 475, b = 132, c = 493
[ 363] a = 475, b = 840, c = 965
[ 364] a = 477, b = 636, c = 795
[ 365] a = 481, b = 600, c = 769
[ 366] a = 483, b =  44, c = 485
[ 367] a = 483, b = 460, c = 667
[ 368] a = 483, b = 644, c = 805
[ 369] a = 483, b = 720, c = 867
[ 370] a = 489, b = 652, c = 815
[ 371] a = 493, b = 276, c = 565
[ 372] a = 495, b = 100, c = 505
[ 373] a = 495, b = 156, c = 519
[ 374] a = 495, b = 264, c = 561
[ 375] a = 495, b = 308, c = 583
[ 376] a = 495, b = 432, c = 657
[ 377] a = 495, b = 660, c = 825
[ 378] a = 495, b = 840, c = 975
[ 379] a = 501, b = 668, c = 835
[ 380] a = 507, b = 676, c = 845
[ 381] a = 513, b = 184, c = 545
[ 382] a = 513, b = 420, c = 663
[ 383] a = 513, b = 684, c = 855
[ 384] a = 519, b = 692, c = 865
[ 385] a = 525, b =  92, c = 533
[ 386] a = 525, b = 180, c = 555
[ 387] a = 525, b = 280, c = 595
[ 388] a = 525, b = 440, c = 685
[ 389] a = 525, b = 500, c = 725
[ 390] a = 525, b = 700, c = 875
[ 391] a = 527, b = 336, c = 625
[ 392] a = 531, b = 708, c = 885
[ 393] a = 533, b = 756, c = 925
[ 394] a = 537, b = 716, c = 895
[ 395] a = 539, b = 252, c = 595
[ 396] a = 543, b = 724, c = 905
[ 397] a = 549, b = 732, c = 915
[ 398] a = 551, b = 240, c = 601
[ 399] a = 555, b = 296, c = 629
[ 400] a = 555, b = 572, c = 797
[ 401] a = 555, b = 740, c = 925
[ 402] a = 561, b = 252, c = 615
[ 403] a = 561, b = 400, c = 689
[ 404] a = 561, b = 748, c = 935
[ 405] a = 567, b = 144, c = 585
[ 406] a = 567, b = 540, c = 783
[ 407] a = 567, b = 756, c = 945
[ 408] a = 573, b = 764, c = 955
[ 409] a = 575, b =  48, c = 577
[ 410] a = 579, b = 772, c = 965
[ 411] a = 585, b =  84, c = 591
[ 412] a = 585, b = 220, c = 625
[ 413] a = 585, b = 312, c = 663
[ 414] a = 585, b = 364, c = 689
[ 415] a = 585, b = 648, c = 873
[ 416] a = 585, b = 780, c = 975
[ 417] a = 589, b = 300, c = 661
[ 418] a = 591, b = 788, c = 985
[ 419] a = 595, b = 204, c = 629
[ 420] a = 595, b = 468, c = 757
[ 421] a = 595, b = 600, c = 845
[ 422] a = 597, b = 796, c = 995
[ 423] a = 605, b = 528, c = 803
[ 424] a = 609, b = 200, c = 641
[ 425] a = 609, b = 580, c = 841
[ 426] a = 615, b = 328, c = 697
[ 427] a = 615, b = 728, c = 953
[ 428] a = 621, b = 100, c = 629
[ 429] a = 621, b = 672, c = 915
[ 430] a = 627, b = 360, c = 723
[ 431] a = 627, b = 364, c = 725
[ 432] a = 629, b = 540, c = 829
[ 433] a = 637, b = 420, c = 763
[ 434] a = 645, b = 344, c = 731
[ 435] a = 651, b = 260, c = 701
[ 436] a = 651, b = 620, c = 899
[ 437] a = 663, b = 180, c = 687
[ 438] a = 663, b = 616, c = 905
[ 439] a = 665, b = 228, c = 703
[ 440] a = 665, b = 432, c = 793
[ 441] a = 667, b = 156, c = 685
[ 442] a = 675, b =  52, c = 677
[ 443] a = 675, b = 360, c = 765
[ 444] a = 675, b = 420, c = 795
[ 445] a = 693, b = 140, c = 707
[ 446] a = 693, b = 176, c = 715
[ 447] a = 693, b = 324, c = 765
[ 448] a = 693, b = 480, c = 843
[ 449] a = 693, b = 660, c = 957
[ 450] a = 697, b = 696, c = 985
[ 451] a = 703, b = 504, c = 865
[ 452] a = 705, b = 376, c = 799
[ 453] a = 713, b = 216, c = 745
[ 454] a = 715, b = 120, c = 725
[ 455] a = 715, b = 624, c = 949
[ 456] a = 725, b = 108, c = 733
[ 457] a = 735, b = 252, c = 777
[ 458] a = 735, b = 392, c = 833
[ 459] a = 735, b = 616, c = 959
[ 460] a = 741, b = 288, c = 795
[ 461] a = 741, b = 580, c = 941
[ 462] a = 759, b = 280, c = 809
[ 463] a = 759, b = 612, c = 975
[ 464] a = 765, b =  96, c = 771
[ 465] a = 765, b = 408, c = 867
[ 466] a = 765, b = 476, c = 901
[ 467] a = 765, b = 520, c = 925
[ 468] a = 775, b = 168, c = 793
[ 469] a = 777, b = 464, c = 905
[ 470] a = 783, b =  56, c = 785
[ 471] a = 795, b = 424, c = 901
[ 472] a = 805, b = 276, c = 851
[ 473] a = 805, b = 348, c = 877
[ 474] a = 819, b = 208, c = 845
[ 475] a = 819, b = 308, c = 875
[ 476] a = 819, b = 408, c = 915
[ 477] a = 819, b = 540, c = 981
[ 478] a = 825, b = 232, c = 857
[ 479] a = 825, b = 260, c = 865
[ 480] a = 825, b = 440, c = 935
[ 481] a = 837, b = 116, c = 845
[ 482] a = 847, b = 396, c = 935
[ 483] a = 851, b = 420, c = 949
[ 484] a = 855, b = 204, c = 879
[ 485] a = 855, b = 456, c = 969
[ 486] a = 875, b = 300, c = 925
[ 487] a = 891, b = 180, c = 909
[ 488] a = 899, b =  60, c = 901
[ 489] a = 925, b = 372, c = 997
[ 490] a = 945, b = 240, c = 975
[ 491] a = 945, b = 248, c = 977
[ 492] a = 945, b = 324, c = 999
[ 493] a = 957, b = 124, c = 965
[ 494] a = 969, b = 108, c = 975
[ 495] a = 975, b = 140, c = 985
